id,category,group,title,current_price,new_price
"cat_e_extention-wire_8","Electrical Materials and Fittings","Extention Wire","Standard",0,
"cat_e_extention-wire_9","Electrical Materials and Fittings","Extention Wire","USB Socket - JK204",0,
"cat_e_extention-wire_10","Electrical Materials and Fittings","Extention Wire","VBT - HY-2332U",0,
"cat_k_fan_1","Kitchen Utensils","Fan","DB - Standing",0,
"cat_e_fan_1","Electrical Materials and Fittings","Fan","Foldable Small - DP-7608",0,
"cat_e_fan_2","Electrical Materials and Fittings","Fan","JH-2028",0,
"cat_e_fan-desktop_1","Electrical Materials and Fittings","Fan - Desktop","DP-7605",0,
"cat_e_fan-desktop_2","Electrical Materials and Fittings","Fan - Desktop","Standard",0,
"cat_e_fan-foldable_1","Electrical Materials and Fittings","Fan - Foldable","Standard",0,
"cat_e_fan-hand-fan_1","Electrical Materials and Fittings","Fan - Hand Fan","Diandi",0,
"cat_e_fan-hand-fan_2","Electrical Materials and Fittings","Fan - Hand Fan","DP-7635",0,
"cat_e_fan-hand-fan_3","Electrical Materials and Fittings","Fan - Hand Fan","Fan",0,
"cat_e_fan-table-fan_1","Electrical Materials and Fittings","Fan - Table Fan","Double Head - NO.666",0,
"cat_e_fan-table-fan_2","Electrical Materials and Fittings","Fan - Table Fan","IW8038-A",0,
"cat_e_fan-table-fan_3","Electrical Materials and Fittings","Fan - Table Fan","Mini - CTL-MF026-6",0,
"cat_k_feeder_1","Kitchen Utensils","Feeder","Standard",0,
"cat_k_foil-paper_1","Kitchen Utensils","Foil Paper","Standard",0,
"cat_b_food-flask_1","Babies Wears","Food Flask","China - Children Bowl",0,
"cat_k_food-flask_2","Kitchen Utensils","Food Flask","Eurosonic ES - 698 - 600ML",0,
"cat_k_food-flask_3","Kitchen Utensils","Food Flask","Gift Master - 800ML",0,
"cat_k_food-flask_4","Kitchen Utensils","Food Flask","Haers - 600ML",0,
"cat_k_food-flask_5","Kitchen Utensils","Food Flask","Insulated Pot - 1.8L",0,
"cat_k_food-flask_6","Kitchen Utensils","Food Flask","Master Chef - 1L",0,
"cat_k_food-flask_7","Kitchen Utensils","Food Flask","Master Chef - F880 - 800ML",0,
"cat_k_food-flask_8","Kitchen Utensils","Food Flask","Master Chef - FF07 - 1.3L",0,
"cat_k_food-flask_9","Kitchen Utensils","Food Flask","Masterchef - F1700 - 1.7L",0,
"cat_k_food-flask_10","Kitchen Utensils","Food Flask","Masterchef - FF2413 - 1 in 1",0,
"cat_k_food-flask_11","Kitchen Utensils","Food Flask","Masterchef - FF3001 - 10 pcs",0,
"cat_k_food-flask_12","Kitchen Utensils","Food Flask","MTM - 500ML",0,
"cat_k_food-flask_13","Kitchen Utensils","Food Flask","Salvin - For my Family",0,
