id,rename_photo_to,category,group,title,current_image
"cat_e_lamp-led-bulb_2","cat_e_lamp-led-bulb_2.jpg","Electrical Materials and Fittings","Lamp - LED Bulb","Kemsafe - KM-7781","/images/catalog/web/lamp-led-bulb.jpg"
"cat_e_lamp-led-bulb_3","cat_e_lamp-led-bulb_3.jpg","Electrical Materials and Fittings","Lamp - LED Bulb","Kemsafe - KM-AE05","/images/catalog/web/lamp-led-bulb.jpg"
"cat_e_lamp-rechargeable_1","cat_e_lamp-rechargeable_1.jpg","Electrical Materials and Fittings","Lamp - Rechargeable","CTL-EL 119U","/images/catalog/web/lamp-rechargeable.jpg"
"cat_e_lamp-rechargeable_2","cat_e_lamp-rechargeable_2.jpg","Electrical Materials and Fittings","Lamp - Rechargeable","CTL-EL 189","/images/catalog/web/lamp-rechargeable.jpg"
"cat_e_lamp-rechargeable_3","cat_e_lamp-rechargeable_3.jpg","Electrical Materials and Fittings","Lamp - Rechargeable","DP-7129B","/images/catalog/web/lamp-rechargeable.jpg"
"cat_e_lamp-rechargeable_4","cat_e_lamp-rechargeable_4.jpg","Electrical Materials and Fittings","Lamp - Rechargeable","DP-7161B","/images/catalog/web/lamp-rechargeable.jpg"
"cat_e_lamp-rechargeable_5","cat_e_lamp-rechargeable_5.jpg","Electrical Materials and Fittings","Lamp - Rechargeable","Lantern - DP-7164","/images/catalog/web/lamp-rechargeable.jpg"
"cat_e_lamp-solar_1","cat_e_lamp-solar_1.jpg","Electrical Materials and Fittings","Lamp - Solar","Cob Work Lamp - SA-819A","/images/catalog/web/lamp-solar.jpg"
"cat_e_lamp-solar_2","cat_e_lamp-solar_2.jpg","Electrical Materials and Fittings","Lamp - Solar","EP-7816","/images/catalog/web/lamp-solar.jpg"
"cat_e_lamp-solar_3","cat_e_lamp-solar_3.jpg","Electrical Materials and Fittings","Lamp - Solar","GD-5808","/images/catalog/web/lamp-solar.jpg"
"cat_e_lamp-solar_4","cat_e_lamp-solar_4.jpg","Electrical Materials and Fittings","Lamp - Solar","JA-399 / 2004","/images/catalog/web/lamp-solar.jpg"
"cat_e_lampholder_1","cat_e_lampholder_1.jpg","Electrical Materials and Fittings","Lampholder","Vin Well - 2 in 1","/images/catalog/web/lampholder.jpg"
"cat_e_lighter_1","cat_e_lighter_1.jpg","Electrical Materials and Fittings","Lighter","Standard","/images/catalog/web/lighter.jpg"
"cat_e_nail_1","cat_e_nail_1.jpg","Electrical Materials and Fittings","Nail","For Iron Clip","/images/catalog/web/nail.jpg"
"cat_e_nail-cutter_1","cat_e_nail-cutter_1.jpg","Electrical Materials and Fittings","Nail Cutter","Standard","/images/catalog/web/nail-cutter.jpg"
"cat_e_pattress-box_1","cat_e_pattress-box_1.jpg","Electrical Materials and Fittings","Pattress Box","Standard","/images/catalog/web/pattress-box.jpg"
"cat_e_phone-stand_1","cat_e_phone-stand_1.jpg","Electrical Materials and Fittings","Phone Stand","Standard","/images/catalog/web/phone-stand.jpg"
"cat_e_plug_1","cat_e_plug_1.jpg","Electrical Materials and Fittings","Plug","13 A","/images/catalog/web/plug.jpg"
"cat_e_radio_1","cat_e_radio_1.jpg","Electrical Materials and Fittings","Radio","MP3 - E30","/images/catalog/web/radio.jpg"
